pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank
41.946,-87.654,7.04,10.64,26.41,55.91,55.36,44.64,27.5,62.7,9.8,256434,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,29.349999999999998,23.5,1.3399999999999999,18.063333333333333,1
41.928,-87.7,6.2,11.13,23.07,59.61,55.67,44.33,21.18,71.61,7.2,81654,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,33.05,23.810000000000002,-4.98,17.293333333333333,2
41.856,-87.644,13.31,12.18,17.03,57.48,61.46,38.54,14.62,69.13,16.24,62038,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,30.919999999999998,29.6,-11.540000000000001,16.326666666666664,3
41.949,-87.657,8.38,12.72,24.66,54.24,51.93,48.07,26.99,60.98,12.03,175921,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,27.680000000000003,20.07,0.82999999999999829,16.193333333333332,4
41.922,-87.646,11.14,16.55,25.47,46.84,49.51,50.49,36.03,56.08,7.89,263497,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.280000000000005,17.65,9.870000000000001,15.933333333333337,5
41.798,-87.599,13.62,13.24,36.6,36.54,36.69,63.31,58.84,20.59,20.57,64313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.98,4.8299999999999983,32.680000000000007,15.830000000000004,6
41.892,-87.632,15.36,16.91,26.21,41.53,37.65,62.35,52.19,33.65,14.16,1541174,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.970000000000002,5.7899999999999991,26.029999999999998,15.596666666666666,7
41.9,-87.629,17.49,16.03,23.1,43.38,43.1,56.9,44.06,45.69,10.25,353179,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.820000000000004,11.240000000000002,17.900000000000002,15.320000000000002,8
41.907,-87.636,14.65,15.09,26.2,44.06,46.76,53.24,39.02,52.61,8.37,479243,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,17.500000000000004,14.899999999999999,12.860000000000003,15.086666666666668,9
41.943,-87.652,10.82,14.58,23.78,50.82,50.36,49.64,28.25,62.27,9.47,311179,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,24.26,18.5,2.09,14.950000000000003,10
41.936,-87.671,9.75,18.05,30.68,41.52,53.42,46.58,34.23,58.47,7.29,69273,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.960000000000004,21.560000000000002,8.0699999999999967,14.863333333333335,11
41.936,-87.666,10.7,16.68,29.37,43.25,49.78,50.22,36.13,56.63,7.24,116747,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.69,17.92,9.9700000000000024,14.86,12
41.929,-87.651,12.5,15.92,25.4,46.19,48.02,51.98,34.94,56.19,8.87,275994,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,19.63,16.160000000000004,8.7799999999999976,14.856666666666669,13
