pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank,signature,cluster_lat,cluster_lon,cluster_lat_500m,cluster_lon_500m,cluster_lat_400m,cluster_lon_400m
41.946,-87.654,7.04,10.64,26.41,55.91,55.36,44.64,27.5,62.7,9.8,256434,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,29.35,23.5,1.34,18.063333333333333,1,Nightlife Pocket,41.95,-87.65,41.945,-87.655,41.944,-87.656
41.928,-87.7,6.2,11.13,23.07,59.61,55.67,44.33,21.18,71.61,7.2,81654,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,33.05,23.81,-4.98,17.293333333333333,2,Leans Nightlife Pocket,41.93,-87.7,41.93,-87.7,41.928000000000004,-87.7
41.856,-87.644,13.31,12.18,17.03,57.48,61.46,38.54,14.62,69.13,16.24,62038,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,30.92,29.6,-11.54,16.326666666666664,3,Mixed/Other,41.86,-87.64,41.855000000000004,-87.645,41.856,-87.644
41.949,-87.657,8.38,12.72,24.66,54.24,51.93,48.07,26.99,60.98,12.03,175921,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,27.680000000000003,20.07,0.8299999999999982,16.19333333333333,4,Nightlife Pocket,41.95,-87.66,41.95,-87.655,41.948,-87.656
41.922,-87.646,11.14,16.55,25.47,46.84,49.51,50.49,36.03,56.08,7.89,263497,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.280000000000005,17.65,9.87,15.933333333333335,5,Nightlife Pocket,41.92,-87.65,41.92,-87.645,41.92,-87.648
41.798,-87.599,13.62,13.24,36.6,36.54,36.69,63.31,58.84,20.59,20.57,64313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.98,4.829999999999998,32.68000000000001,15.830000000000004,6,Mixed/Other,41.8,-87.6,41.800000000000004,-87.60000000000001,41.800000000000004,-87.60000000000001
41.892,-87.632,15.36,16.91,26.21,41.53,37.65,62.35,52.19,33.65,14.16,1541174,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.970000000000002,5.789999999999999,26.03,15.596666666666666,7,Mixed/Other,41.89,-87.63,41.89,-87.63,41.892,-87.632
41.9,-87.629,17.49,16.03,23.1,43.38,43.1,56.9,44.06,45.69,10.25,353179,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.820000000000004,11.240000000000002,17.900000000000002,15.320000000000002,8,Leans Nightlife Pocket,41.9,-87.63,41.9,-87.63,41.9,-87.628
41.907,-87.636,14.65,15.09,26.2,44.06,46.76,53.24,39.02,52.61,8.37,479243,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,17.500000000000004,14.9,12.860000000000005,15.086666666666668,9,Leans Nightlife Pocket,41.91,-87.64,41.905,-87.635,41.908,-87.636
41.943,-87.652,10.82,14.58,23.78,50.82,50.36,49.64,28.25,62.27,9.47,311179,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,24.26,18.5,2.09,14.950000000000005,10,Nightlife Pocket,41.94,-87.65,41.945,-87.65,41.944,-87.652
41.936,-87.671,9.75,18.05,30.68,41.52,53.42,46.58,34.23,58.47,7.29,69273,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.960000000000004,21.56,8.069999999999997,14.863333333333337,11,Leans Nightlife Pocket,41.94,-87.67,41.935,-87.67,41.936,-87.672
41.936,-87.666,10.7,16.68,29.37,43.25,49.78,50.22,36.13,56.63,7.24,116747,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.69,17.92,9.970000000000002,14.86,12,Leans Nightlife Pocket,41.94,-87.67,41.935,-87.665,41.936,-87.664
41.929,-87.651,12.5,15.92,25.4,46.19,48.02,51.98,34.94,56.19,8.87,275994,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,19.63,16.160000000000004,8.779999999999998,14.856666666666667,13,Leans Nightlife Pocket,41.93,-87.65,41.93,-87.65,41.928000000000004,-87.652
41.936,-87.656,13.55,16.94,27.87,41.65,49.62,50.38,36.02,55.02,8.96,164893,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,15.09,17.759999999999998,9.860000000000005,14.236666666666665,14,Leans Nightlife Pocket,41.94,-87.66,41.935,-87.655,41.936,-87.656
41.949,-87.652,12.98,14.4,26.07,46.55,50.06,49.94,29.55,60.14,10.31,115807,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,19.99,18.200000000000003,3.390000000000001,13.86,15,Leans Nightlife Pocket,41.95,-87.65,41.95,-87.65,41.948,-87.652
41.921,-87.7,9.37,12.02,24.03,54.58,51.0,49.0,19.59,72.66,7.75,159036,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,28.02,19.14,-6.57,13.53,16,Mixed/Other,41.92,-87.7,41.92,-87.7,41.92,-87.7
41.943,-87.657,11.9,15.78,29.49,42.83,50.75,49.25,30.96,58.85,10.19,132517,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.27,18.89,4.800000000000001,13.32,17,Leans Nightlife Pocket,41.94,-87.66,41.945,-87.655,41.944,-87.656
41.892,-87.629,20.39,17.67,25.12,36.82,36.78,63.22,48.96,35.37,15.67,694903,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,10.260000000000002,4.920000000000002,22.8,12.660000000000002,18,Mixed/Other,41.89,-87.63,41.89,-87.63,41.892,-87.628
41.945,-87.676,7.48,12.97,38.11,41.43,54.49,45.51,26.42,67.04,6.55,13108,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.87,22.630000000000003,0.2600000000000015,12.586666666666668,19,Leans Nightlife Pocket,41.94,-87.68,41.945,-87.675,41.944,-87.676
41.943,-87.647,14.69,15.97,24.04,45.3,48.53,51.47,27.43,62.05,10.52,209280,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.74,16.67,1.2699999999999996,12.226666666666665,20,Leans Nightlife Pocket,41.94,-87.65,41.945,-87.645,41.944,-87.648
41.936,-87.661,14.86,17.43,29.37,38.34,47.36,52.64,35.55,55.82,8.63,149912,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,11.780000000000005,15.5,9.389999999999995,12.223333333333334,21,Leans Nightlife Pocket,41.94,-87.66,41.935,-87.66,41.936,-87.66
42.006,-87.813,15.54,14.34,21.71,48.41,53.12,46.88,19.05,47.63,33.33,23107,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,21.85,21.26,-7.11,12.0,22,Mixed/Other,42.01,-87.81,42.005,-87.815,42.008,-87.812
41.922,-87.651,10.58,18.86,30.75,39.81,44.53,55.47,35.9,56.82,7.28,202320,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.250000000000004,12.670000000000002,9.739999999999998,11.886666666666668,23,Leans Nightlife Pocket,41.92,-87.65,41.92,-87.65,41.92,-87.652
41.945,-87.681,5.81,13.3,35.36,45.53,48.16,51.84,25.56,68.01,6.43,22700,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.97,16.299999999999997,-0.6000000000000014,11.556666666666665,24,Leans Nightlife Pocket,41.94,-87.68,41.945,-87.68,41.944,-87.68
41.885,-87.657,10.98,17.71,27.65,43.67,37.68,62.32,37.81,50.44,11.75,2095662,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,17.110000000000003,5.82,11.650000000000002,11.526666666666667,25,Mixed/Other,41.88,-87.66,41.885,-87.655,41.884,-87.656
41.898,-87.654,17.33,16.83,23.65,42.2,38.1,61.9,38.0,52.99,9.01,390155,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,15.640000000000004,6.240000000000002,11.84,11.240000000000002,26,Mixed/Other,41.9,-87.65,41.9,-87.655,41.896,-87.656
41.783,-87.599,11.37,14.55,47.75,26.33,32.73,67.27,58.93,21.34,19.73,101865,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.2300000000000004,0.8699999999999974,32.77,11.136666666666663,27,Mixed/Other,41.78,-87.6,41.785000000000004,-87.60000000000001,41.784,-87.60000000000001
41.916,-87.675,10.66,15.88,28.6,44.86,50.61,49.39,22.5,70.2,7.3,114440,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.3,18.75,-3.66,11.13,28,Leans Nightlife Pocket,41.92,-87.68,41.915,-87.675,41.916000000000004,-87.676
